helping,title,eventtitle,identifier,arg.type,arg.day,arg.month,arg.calendar,arg.status,arg.statusCount,arg.secDayCount,arg.startYear,arg.stopYear,tag,add.category.COMMA,add.rank,add.locale.COMMA,add.freelocale.COMMA,add.freespecial..COMMA,add.alias,add.remark,arg.timer.useTimeZoneOfFrontend,arg.timer.timeZoneOfEvent,arg.timer.ultimateBeginningTimer,arg.timer.ultimateEndingTimer,arg.timer.startTimeSeconds,arg.timer.startDateTime,arg.timer.durationMinutes,arg.timer.durationNatural,arg.timer.activeWeekday,arg.timer.nthWeekdayInMonth,arg.timer.activeMonth,arg.timer.periodLength,arg.timer.periodUnit,arg.timer.namedDateMidnight,arg.timer.relMinToSelectedTimerEvent,arg.timer.calendarUse,arg.timer.moonPhase,arg.timer.moonStatus,arg.timer.latitude,arg.timer.longitude,arg.timer.yamlPeriodFilePath,arg.timer.recursiveLoopLimit,arg.timer.yamlActiveFilePath,arg.timer.yamlForbiddenFilePath,arg.timer.sunPosition,arg.timer.nthWeekdayInMonth,ignored
,Weltfrauentag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.worldwomenday,greg-worldwomenday,fixed,8,3,gregorian,,,,,,political,gender,2,"de_DE,en_LR,vai_Latn_LR","en_LR,vai_Latn_LR",de_DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nationalfeiertag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.muNationalHoliday,greg-muAbolitionOfSlavery,fixed,12,3,gregorian,,,,,,political,,5,en_MU,en_MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tage der Ausschmückung,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.lrDecorationDay,greg-lrDecorationDay,weekdayly,,3,gregorian,3,2,,,,culture,,5,"en_LR,vai_Latn_LR","en_LR,vai_Latn_LR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J. J. Roberts’ Geburtstag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.lrJJRobertsBirthday,greg-lrJJRobertsBirthday,fixed,15,3,gregorian,,,,,,historical,,5,"en_LR,vai_Latn_LR","en_LR,vai_Latn_LR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St. Patrick Day,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.sanktpatrickday,greg-sanktpatrickday,fixed,17,3,gregorian,,,,,,culture,,2,"en_IE,ga_IE","en_IE,ga_IE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St. Patrick Day (+),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.sanktpatrickday,greg-sanktpatrickdayEnglish,fixedshifting,17,3,gregorian,,"0,0,0,0,0,2,1",,,,culture,,3,en_GB,en_GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Josefi,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.hist.greg.liJosefi,greg-liJosefi,fixed,19,3,gregorian,,,,,,religion,christian,5,de_LI,de_LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geburtstag von Benito Juárez,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.mxBirthdayOfBenitoJuarez,greg-mxBirthdayOfBenitoJuarez,weekdayly,,3,gregorian,1,3,,,,historical,,,es_MX,es_MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frühlingsanfang,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.spring,greg-spring,season,,,gregorian,1,,,,,culture,,5,ja_JP,ja_JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grünen Donnerstag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.greenthursday,greg-greenthursday,easterly,,,gregorian,,-4,,,,religion,christian,4,es_CR,es_CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fasten und Beten (Liberia),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.lrFastPrayerDay ,greg-lrFastPrayerDay ,weekdayly,,3,gregorian,5,2,,,,culture,,5,"en_LR,vai_Latn_LR","en_LR,vai_Latn_LR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freiheitstag (Malta),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.mtFreedomDay,greg-mtFreedomDay,fixed,31,3,gregorian,,,,,,political,,5,"en_MT,mt_MT","en_MT,mt_MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karfreitag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.goodfriday,greg-goodFriday,easterly,,,gregorian,,-3,,,,religion,christian,4,"de_DE,fr_FR,en_GB,es_CR,en_IE,ga_IE,de_LI,fr_MC,en_MT,mt_MT,en_NZ","de_DE,en_GB,es_CR,de_LI,fr_MC,en_MT,mt_MT,en_NZ",fr_FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ostern,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.easter,greg-easter,easterly,,,gregorian,,0,,,,religion,christian,5,"de_DE,fr_FR,en_GB,es_CR,en_IE,ga_IE,de_LI,hr_HR,fr_MC,en_MT,mt_MT,en_NZ","de_DE,fr_FR,en_GB,es_CR,en_IE,ga_IE,de_LI,hr_HR,fr_MC,en_MT,mt_MT,en_NZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
